#timestamp x y z qx qy qz qw id
603.898000 2.988091 7.193556 -0.119654 -0.702346 0.711830 -0.002350 0.001933 544
604.899000 2.485901 7.186747 -0.118934 -0.701468 0.712690 -0.002065 0.003246 545
605.903000 2.008075 7.211308 -0.123689 -0.699950 0.714189 -0.001533 0.000646 546
607.026000 1.519355 7.206812 -0.124946 -0.698625 0.715487 -0.000425 0.001473 547
608.108000 1.094125 7.215972 -0.125975 -0.697836 0.716251 -0.001494 0.002604 548
609.325000 0.694048 7.225313 -0.129002 -0.696607 0.717449 -0.000900 0.002210 549
610.471000 0.375797 7.240011 -0.134313 -0.695224 0.718791 -0.000820 0.001401 550
611.499000 0.148890 7.237022 -0.129990 -0.693634 0.720321 -0.000994 0.002907 551
612.569000 -0.005372 7.234434 -0.126209 -0.692364 0.721544 0.000804 0.002449 552
613.747000 -0.122395 7.244142 -0.128428 -0.690895 0.722950 -0.000076 0.002609 553
622.307000 -0.141243 7.345914 -0.128561 -0.689616 0.724154 -0.002776 0.004854 561
625.535000 -0.141549 7.436759 -0.130115 -0.688665 0.725050 -0.003069 0.005692 564
628.816000 -0.124373 7.536631 -0.128396 -0.693720 0.720227 -0.002822 0.004300 567
632.132000 -0.128196 7.660326 -0.130616 -0.701091 0.713051 -0.004430 0.003159 570
635.571000 -0.114961 7.781815 -0.128664 -0.700343 0.713790 -0.004284 0.002086 573
638.858000 -0.112510 7.903913 -0.128984 -0.700348 0.713786 -0.004251 0.002092 576
642.087000 -0.093767 8.010227 -0.123012 -0.694007 0.719958 -0.001986 0.003335 579
645.306000 -0.095232 8.109272 -0.123337 -0.696220 0.717819 -0.002592 0.002687 582
647.540000 -0.098330 8.152795 -0.122109 -0.699962 0.714170 -0.002708 0.002689 584
656.330000 0.017511 8.236024 -0.128170 -0.700797 0.713361 -0.000679 -0.000417 592
657.426000 0.182529 8.236814 -0.123515 -0.698644 0.715468 -0.001242 0.000863 593
658.514000 0.438178 8.227088 -0.121408 -0.698607 0.715505 0.000595 -0.000851 594
659.609000 0.720878 8.223592 -0.121686 -0.699098 0.715025 -0.000901 0.000326 595
660.736000 1.108645 8.213927 -0.119806 -0.698671 0.715443 -0.000521 0.000028 596
661.795000 1.496943 8.200827 -0.116633 -0.699257 0.714868 -0.001434 0.001243 597
662.919000 1.977943 8.210217 -0.126791 -0.699099 0.715022 -0.002085 -0.000856 598
664.025000 2.498432 8.190855 -0.116343 -0.699484 0.714647 -0.001165 -0.000709 599
665.091000 3.027890 8.179489 -0.110251 -0.699715 0.714416 -0.002800 0.001024 600
666.101000 3.580624 8.169463 -0.107429 -0.699711 0.714423 0.000175 -0.002118 601
667.161000 4.180650 8.155077 -0.102343 -0.699911 0.714217 -0.003860 0.002021 602
668.288000 4.863492 8.154194 -0.105991 -0.699760 0.714373 -0.001702 -0.001894 603
669.309000 5.481748 8.124310 -0.086755 -0.699653 0.714482 -0.000565 -0.000613 604
670.412000 6.208328 8.123770 -0.102003 -0.699374 0.714750 -0.000683 -0.002859 605
671.588000 6.975117 8.107463 -0.100218 -0.699635 0.714496 -0.000977 -0.002491 606
672.854000 7.796462 8.087256 -0.086533 -0.699381 0.714740 -0.003601 0.000342 607
674.066000 8.601993 8.072086 -0.079698 -0.699680 0.714449 -0.003194 0.000354 608
675.099000 9.291593 8.052111 -0.071692 -0.701314 0.712848 -0.001732 -0.001742 609
676.397000 10.137280 8.037155 -0.067304 -0.701940 0.712226 -0.000979 -0.003707 610
677.631000 10.996573 8.027049 -0.071320 -0.698294 0.715809 0.000869 -0.001616 611
678.733000 11.706782 8.013388 -0.072580 -0.698126 0.715969 -0.002929 -0.000135 612
679.925000 12.454680 7.991005 -0.067464 -0.699141 0.714974 -0.003131 -0.002054 613
681.179000 13.223347 7.972963 -0.064278 -0.698978 0.715125 -0.004966 -0.001416 614
682.363000 13.923822 7.951545 -0.060413 -0.695866 0.718139 -0.006863 -0.000239 615
683.385000 14.476448 7.938495 -0.057452 -0.695103 0.718892 -0.004101 -0.003070 616
684.466000 15.020960 7.925612 -0.047693 -0.695060 0.718908 -0.007915 -0.000013 617
685.474000 15.502675 7.909672 -0.042371 -0.695301 0.718675 -0.007927 -0.000154 618
686.504000 15.965719 7.895301 -0.039732 -0.695703 0.718289 -0.007618 -0.000702 619
687.608000 16.414169 7.882614 -0.035212 -0.697763 0.716287 -0.007716 -0.000972 620
688.629000 16.786684 7.868811 -0.034119 -0.698999 0.715077 -0.008092 -0.000286 621
689.771000 17.113844 7.862962 -0.028237 -0.701544 0.712558 -0.009768 0.001128 622
690.875000 17.427250 7.856691 -0.027470 -0.704911 0.709242 -0.008804 0.000150 623
691.977000 17.621487 7.855475 -0.022702 -0.703231 0.710889 -0.009979 0.001720 624
693.016000 17.771975 7.858493 -0.025146 -0.699003 0.715060 -0.009137 0.001079 625
702.639000 17.878696 7.970951 -0.022897 -0.694346 0.719602 -0.007462 -0.000376 634
703.698000 17.877859 7.998156 -0.028376 -0.690972 0.722851 -0.006570 -0.000805 635
706.980000 17.871868 8.098202 -0.022805 -0.689623 0.724129 -0.007620 -0.000306 638
